Note,28 June 2020,30 June 2019
Cash and cash equivalents,C5,"20434,19180"
Trade and other receivables,B1,"7876,7413"
Inventories,B2,"21714,22769"
Derivatives,C4,"207,645"
Total current assets,,"50231,50007"
Deferred tax assets,A8,"9344,6372"
Property, plant and equipment,"B3,46099,38418"
Right-of-use asset,B4,"150464,-"
Intangible assets and goodwill,B5,"3882,4418"
Total non-current assets,,"209789,49208"
Total assets,,"260020,99215"
Bank overdraft,C5,"-,7988"
Trade and other payables,B7,"22231,23659"
Employee benefits - current,B9,"3685,3695"
Provisions - current,B8,"1516,2212"
Lease liability - current,B10,"36019,-"
Current tax liabilities,A8,"3893,1261"
Total current liabilities,,"67344,38815"
Employee benefits - non current,B9,"407,359"
Lease liability - non current,B10,"131135,-"
Provisions - non current,B8,"2766,6390"
Total non-current liabilities,,"134308,6749"
Total liabilities,,"201652,45564"
Net assets,,"58368,53651"
Issued capital,C1,"213877,209791"
Common control reserve,,"(208906),(208906)"
Other reserves,,"11578,6302"
Retained earnings,,"41819,46464"
Total equity,,"58368,53651"
