28 June 2020,Carrying amount,Total,2 mths or less,2-12 mths,1-2 years,2-5 years,More than 5 years
Consolidated ($000s),Carrying amount,Total,2 mths or less,2-12 mths,1-2 years,2-5 years,More than 5 years
Non-derivative financial liabilities,Carrying amount,Total,2 mths or less,2-12 mths,1-2 years,2-5 years,More than 5 years
Trade payables,12,032,12,032,-,-,"-,-"
Lease liabilities,167,154,186,098,11,998,"29,084,31,160,68,171,45,685"
Bank overdrafts,-,-,-,-,-,-,"-,-"
179,186,198,130,24,030,29,"084,31,160,68,171,45,685"
Derivative financial assets,Carrying amount,Total,2 mths or less,2-12 mths,1-2 years,2-5 years,More than 5 years
Forward exchange contracts used for hedging:,-,Total,2 mths or less,2-12 mths,1-2 years,2-5 years,More than 5 years
-Outflow,-,29,748,6,987,22,"761,-,-,-"
-Inflow,-,29,955,-7,005,-22,"950,-,-,-"
Total,-,207,-18,-189,-,-,"-,-"
