Consolidated ($000s),Note,Leaseholdimprovements,Hardware and Fixtures andsoftware fitings Total,Hardware and Fixtures andsoftware fitings Total,Hardware and Fixtures andsoftware fitings Total
Accumulated depreciation andimpairment losses,,,,,
Balance at 2 July 2018,,"(21,831)","(1,448",（309),"(23,588)"
Depreciation,,"（7,668","(1,645)",（445）,"19,758）"
Disposals,,2.376,111,：,"2,487"
Effect of movements in exchange rates,,(366),（29,三,(396
Balance at 30 June 2019,,"(27,489）","(3,011)",（755）,"(31,255)"
Balance at 1 July 2019,,"(27,489)","(3,011)",(755),"(31,255)"
Depreciation,,"(11,312)","(1,825)",(481),"(13,618)"
Impairment,,"(1,152)",、,-,"(1,152)"
Disposals,,"1,412",142,,"1,554"
Effect of movements in exchange rates,,"2,238",193,2,"2,433"
Balance at 28 June 2020,,"(36,303)","（4,501)","(1,234)","(42,038)"
Carrying amounts,,,,,
At 1 July 2018,,"18,839","2,166","1,407","22,411"
At 30 June 2019,,"33,763","3,082","1,573","38,418"
At 28 June 2020,,"42,507","2,258","1,334","46,099"
