Consolidated ($000s),2020,2019
Profit before tax from continuing operations,"20,862","52,618"
Tax at the Australian tax rate of 30% (2019: 30%),6259,15785
Effect of tax rates in foreign jurisdictions,40,-515
Non-deductible expenses,21,379
Tax exempt income,-64,-34
Utilisation of carried-forward tax losses,-,-
Recognition of tax effect of previously unrecognised tax losses,-423,-313
Current year losses for which no deferred tax asset is recognised,2435,761
Other movements,900,-590
Changes in estimate related to prior years,473,102
Total non temporary differences,9641,15575
Temporary differences,,
Amounts recognised in OCI,-6510,-2052
Net movement in deferred tax balances,2972,1837
Total temporary differences,-3538,-215
Income taxes payable for the current financial year,6103,15360
Income taxes payable at the beginning of the year,1261,6534
Less: tax paid during the year,-3471,-20633
Income taxes payable as at year end,3893,1261
Represented in the Statement of financial position by:,,
Current tax liabilities,3893,1261
Current tax assets,-,-
,3893,1261
