Consolidated ($000s),Note,28 June,30 June
Consolidated ($000s),,2020,2019
Assets,,,
Cash and cash equivalents,C5,"20,434","19,180"
Trade and other receivables,B1,"7,876","7,413"
Inventories,B2,"21,714","22,769"
Derivatives,C4,207,645
Total current assets,,"50,231","50,007"
Deferred tax assets,A8,"9,344",6.372
"Property,plant andequipment",B3,"46,099","38,418"
Right-of-use asset,B4,"150,464",，
Intangible assets and goodwill,B5,"3,882","4,418"
Total non-current assets,,"209,789","49,208"
Total assets,,"260,020","99,215"
Liabilties,,,
Bank overdraft,C5,,7988
Trade and other payables,B7,"22,231",23.659
Employee benefits - current,B9,"3,685","3,695"
Provisions - current,B8,"1,516","2,212"
Lease liability-current,B10,"36,019",
Current tax liabilities,A8,"3,893","1,261"
Total current liabilities,,"67,344","38,815"
Employee benefits-noncurrent,B9,407,359
Lease liability- non current,B10,"131,135",：
Provisions - non current,B8,"2,766","6,390"
Total non-current liabilties,,"134,308",6.749
Total liabilties,,"201,652","45,564"
Net assets,,"58,368","53,651"
Equity,,,
Issued capital,C1,"213,877","209,791"
Common control reserve,,"(208,906)","(208,906)"
Other reserves,,"11,578","6,302"
Retained earnings,,"41,819","46,464"
Total equity,,"58,368","53,651"
