($000s),2020,2019
Result of parent entity,,
Profit for the year,7341,33220
Other comprehensive income,,
Total comprehensive income for the year,7341,33220
Financial position of parent entity at year end,,
Current assets,18768,30356
Total assets,229674,219203
Current liabilities,,
Total liabilities,,
Net assets,229674,219203
Total equity of parent entity comprising of:,,
Share capital,215351,209791
Share based payments reserve,905,1861
Accumulated profits,13418,7551
Total equity,229674,219203
