Held at 1 shares Shares Held at 28No. of shares Purchased Sold June 2020July 2019,Held at 1 shares Shares Held at 28No. of shares Purchased Sold June 2020July 2019,Held at 1 shares Shares Held at 28No. of shares Purchased Sold June 2020July 2019,Held at 1 shares Shares Held at 28No. of shares Purchased Sold June 2020July 2019,Held at 1 shares Shares Held at 28No. of shares Purchased Sold June 2020July 2019
Non-executiveDirectors,,,,
B Blundy,"43,207,500",,,"43,207,500"
T Blundy,"1,153,005",,-,"1,153,005"
JKing,"34,000",,,"34,000"
JArmstrong,,,,
SJAlt,,,,
N van derMerwe(alternate),,,,
ExecutiveDirectors,,,,
S Fallscheer,"4,140,000","1,687,764",,"5,827,764"
Executive,,,,
C Lauder,"3,000",,,"3,000"
