,No. of Ordinary Shares,No. of Ordinary Shares,Value of Ordinary Shares,Value of Ordinary Shares
,2020,2019,2020,2019
Share Capital,'00's,'000s,'00's,'000's
On issue at beginning of year,"105,566","105,016","214,571","208,526"
Exercise of performance rights,,-,-,
Share issue to Employee Share Trust,"1,894",550,"19,594","6,045"
On issue at end of year,"107,460","105,566","234,165","214,571"
Treasury Shares,,,,
On issue at beginning of year,,,"(4,780)",
Shares issued to trust,"(1,894)",（550）,"(19,594)","(6,045)"
Shares allocated on option exercise,"1,894",550,"4,086","1,265"
,-,：,"(20,288)","（4,780)"
Share Capital After Treasury Shares,"107,460","105,566","213,877","209,791"
