Consolidated $000s),28 June 2020 30 June 2019,28 June 2020 30 June 2019
Assets,,
Cash and cash equivalents,"8,296",979
Trade and other receivables,"53,964","39,577"
Inventories,"9,694","12,123"
Curret tax receivables,,356
Derivatives,207,645
Total current assets,"72,161","53,680"
Deferred tax assets,"3,424","3,265"
"Property,plantandequipment","13,984","14,174"
Right-of-use asset,"49,940",
Investments,"210,000","210,000"
Total non-current assets,"277,348","227,439"
Total assets,"349,509","281,119"
Libities,,
Bank overdraft,,"7,988"
Trade and other payables,"13,225","11,506"
Employee benefits-current,"1,991","2,109"
Lease liability - current,"15,941",-
Current taxliabilites,"2,167",-
Provisions - current,452,696
Total current liabilities,"33,776","22,299"
Employee benefits-non-current,"1,244","1,062"
Lease liability - non-current,"39,137",
Provisions - non current,984,"1,638"
Total non-current liabilities,4165,"2,700"
Total liabilties,"75,141","24,99"
Net assets,"274,368","256,120"
Equity,,
Issued capital,"213,877","209,791"
Common control reserve,925,925
Share based payments reserve,"8,597","3,296"
Cash flow hedge reserve,201,553
Retained earnings,"50,768","41,555"
Total equity,"274,368 256,120","274,368 256,120"
