Consolidated ($000s),Site restoration,Straight line rent and lease incentive,Return provision,Onerous lease,Total
Balance at 1 July 2019,"3,138","5,210",246,8,"8,602"
Derecognition of balances on initial application of AASB 16,,"(5,210)",,(8),-5218
Adjusted balance at 1 July 2019,"3,138",,246,,"3,384"
Provisions made during the year,733,,588,,"1,321"
Provisions used during the year,,,(511),,511
Effect of movement in exchange rates,-208,,296,,88
Balance at 28 June 2020,"3,663",,619,,"4,282"
Current,897,,619,,"1,516"
Non-current,"2,766",,-,,"2,766"
"3,663",,619,,,"4,282"
