Consolidated ($000s),Note,2020
Cost,Balance at 1 July 2019,"-,-"
Cost,Recognition of right-of-use asset on initial application of AASB 16,"138403,-"
Cost,Adjusted balance at 1 July 2019,"138403,-"
Cost,Additions,"48793,-"
Cost,Re-measurement of lease liabilities,"1698,-"
Cost,Disposals,"-,-"
Cost,Effect of movements in exchange rates,"-,1755"
Cost,Balance at 28 June 2020,"187139,-"
Accumulated depreciation and impairment losses,Balance at 1 July 2019,"-,-"
Accumulated depreciation and impairment losses,Recognition of right-of-use asset on initial application of AASB 16,"-,-"
Accumulated depreciation and impairment losses,Adjusted balance at 1 July 2019,"-,-"
Accumulated depreciation and impairment losses,Depreciation and impairment charges for the year,"-,37454"
Accumulated depreciation and impairment losses,Disposals,"-,-"
Accumulated depreciation and impairment losses,Effect of movements in exchange rates,"-,779"
Accumulated depreciation and impairment losses,Balance at 28 June 2020,"-,36675"
Carrying amounts,At 1 July 2019,"138403,-"
Carrying amounts,At 28 June 2020,"150464,-"
