Consolidated ($000s),2020,2019
Property expenses,,
Variable lease expenses,404,"32,113"
Outgoings,"11,142","10,466"
Total property expenses,"11,546","42,579"
Salaries and employee benefits expense,,
Wages and salaries,"56,382","60,361"
Compulsory social security contributions,"5,334","5,123"
Increase in liability for long-service leave,220,282
Share-based payment expense,-577,586
Total salaries and employee benefits expense,"61,359","66,352"
Other expenses,,
Administrative expenses,"18,934","14,429"
Other expenses,"3,190","6,690"
Total other expenses,"22,124","21,119"
