July,2014,Sept,2014,Dec,2015,Sept-Dec diff
Total,43,50,46,-4,,
Men,46,53,51,-2,,
Women,40,48,41,-7,,
White,47,53,50,-3,,
Black,41,38,30,-8,,
Hispanic,36,49,40,-9,,
18-29,27,33,32,-1,,
30-49,46,49,47,-2,,
50-64,47,56,54,-2,,
65+,52,64,51,-13,,
Postgrad,41,44,35,-9,,
College grad,40,50,40,-10,,
Some college,41,49,47,-2,,
HS or less,47,53,51,-2,,
Conservative Rep,68,72,77,+5,,
Mod/Lib Rep,44,52,51,-1,,
Cons/Mod Dem,36,46,39,-7,,
Liberal Dem,35,35,21,-14,,
Protestant,53,59,55,-4,,
White evangelical,64,70,70,0,,
White mainline,47,54,51,-3,,
Black Protestant,40,43,33,-10,,
Catholic,38,53,49,-4,,
Unaffiliated,30,35,35,0,,
