Rep,Dem,Ind,R-D diff,Defense/National security
Immigration,14,3,7,R+11
Terrorism,24,16,18,R+8
ISIS/War in Iraq/War in Syria,8,4,8,R+4
Economy (general),7,6,12,R+1
"Dissatisfaction with government,Obama",4,,,D+1
Gun control/Too many guns/Mass shootings,4,5,6,D+1
Unemployment,4,5,6,D+1
Political gridlock/Division,4,7,8,D+3
NET: Foreign/International,2,8,4,D+6
NET: Terrorism/ISIS/National security,42,24,32,R+18
NET: Economic issues,41,23,28,R+18
Unweighted N,21,20,25,D-1
,,,,
,198,207,290,
