Ordinary Shares Underlying Equity Awards Granted,Exercise Price (US$/Share),Date of Grant,Date of Expiration
*,0 to 7.1411,"various dates from June 16, 2017 to March 15, 2022","various dates from June 16, 2027 to March 15, 2032"
*,0 to 7.605,"various dates from June 16, 2017 to March 15, 2022","various dates from June 16, 2027 to March 15, 2032"
*,0 to 7.1411,"various dates from October 17, 2018 to March 15, 2022","various dates from October 17, 2028 to March 15, 2032"
,,,",,,"
*,0,"December 15, 2021","December 15, 2031"
*,0,"November 15, 2021","November 15, 2031"
*,0 to 7.1411,"various dates from December 20, 2017 to March 15, 2022","various dates from December 20, 2027 to March 15, 2032"
*,0 to 7.1411,"various dates from April 16, 2018 to March 15, 2022","various dates from April 16, 2028 to March 15, 2032"
*,0 to 7.1411,"various dates from October 17, 2018 to March 15, 2022","various dates from October 17, 2028 to March 15, 2032"
*,0 to 7.1411,"various dates from October 17, 2018 to March 15, 2022","various dates from October 17, 2028 to March 15, 2032"
*,0 to 6.2,"various dates from January 21, 2019 to March 15, 2022","various dates from January 21, 2029 to March 15, 2032"
*,0 to 7.605,"Various dates from June 16, 2017 to March 15, 2022","Various dates from June 16, 2027 to March 15, 2032"
