,,,2020,2020,2021,2021
,2019 RMB,%,RMB,%,RMB,US$ %
Revenues,"(in millions,except for percentages)","(in millions,except for percentages)","(in millions,except for percentages)","(in millions,except for percentages)","(in millions,except for percentages)","(in millions,except for percentages)"
Online music services,"7,152",28.1,"9,349",32.1,"11,467","1,799 36.7"
Social entertainment services and others,"18,282",71.9,19.804,67.9,"19,777 3,103",63.3
Total revenues,"25,434",100.0,"29,153",100.0,"4,903",100.0
Cost of revenues(1),,,"(19,851)","31,244","(3,427)",(69.9)
Gross profit,"(16,761)",(65.9),,"(68.1) (21,840)",,
Operating expenses,"8,673",34.1,"9,302","31.9 9,404","1,476",30.1
Selling and marketing expenses(1),,,,"(2,678)",(420),(8.6)
General and administrative expenses(1),"(2,041) (2,703)",(8.0) (10.6),"(2,475) (3,101)","(8.5) (10.6) (4,009)",(629),(12.8)
Total operating expenses,,(18.7),"(5,576)",,"(1,049)",(21.4)
Interest income,"(4,744)",2.4,622,"(19.1) (6,687) 2.1",530,1.7
"Other gains, net",615 78,0.3,362,1.2,83 553 87,1.8
Operating profit,,18.2,"4,710",16.2,,
Share of net (loss)/profit of investments accounted for using equity method,"4,622",(0.1),,"3,800",596,12.2
Finance cost(2),(18) (64),,19,0.1,(47) (7) (19),(0.2)
Profit before income tax,"4,540",(0.3) 17.9,"(97) 4,632",(0.3),(121),(0.4) 11.6
Income tax expense,(563),(2.2),(456),15.9 (1.6),"3,632 570 (417) (65)",(1.3)
Profit for the year,"3,977",15.6,"4,176",14.3,"3,215 505",10.3
