,2019 RMB,2020 RMB,2021 RMB,US$
,"3,977","(in millions,except for shareand pershare data)",2021 RMB,US$
Profit for the year,,"4,176","3,215",505
Adjustments: Amortization of intangible and other assets arising from,,,,
acquisitions(1),362,392,484,76
Share-based compensation,519,570,753,118
Losses/(gains) from investments(2),79,(101),51,8
Fair value change on puttable shares(3),37,37,,
Income tax effects(4),(71),(103),(171),(27)
Adjusted profit for the year (Non-IFRS financial measure),"4,903","4,971","4,332",680
Attributable to,,,,
Non-IFRS equity holders of the Company,"4,908","4,950","4,146",651
Non-controlling interests,(5),21,186,29
Earnings per share for Class A and Class B ordinary shares (Non-IFRS financial measure),,,,
Basic,1.50,1.49,1.25,0.20
Diluted,1.47,1.47,1.23,0.19
Shares used in earnings per Class A and Class B ordinary,,,,
share computation Basic,,,,
Diluted,"3,272,754,403 3,347,572,338","3,313,527,847","3,321,067,177","3,321,067,177"
,,"3,360,460,759","3,363,045,757","3,363,045,757"
Earnings per ADS (Non-IFRS financial measure)(5),,,,
Basic,3.00,2.99,2.50,0.39
Diluted,2.93,2.95,2.47,0.39
ADS used in earnings per ADS computation,,,,
Basic,"1,636,377,201","1,656,763,924","1,660,533,589","1,660,533,589"
Diluted,"1,673,786,169","1,680,230,380","1,681,522,878","1,681,522,878"
