,,Weighted- average exercise,Weighted- average grant date fair
,Number of options,price (USs),value (US$)
"Outstanding as at January 1, 2019","56,736,209",0.19,1.94
Exercised,"(42,091,694)",0.18 0.20,1.97 2.04
"Forfeited Outstanding as at December 31, 2019","(747,211)",0.23,1.92
,"13,897,304",,1.92
"Vested and expected to vest as at December 31, 2019","13,670,469",0.23 0.23,1.91
"Exercisable as at December 31, 2019 Non vested as at December 31, 2019","12,007,012",0.24,1.92
"Outstanding as at January 1, 2020","1,890,292",0.23,
Exercised,"13,897,304",0.23,1.92 1.91
Forfeited,"(7,866,422)",0.27,1.91
"Outstanding as at December 31, 2020","(46,982) 5,983,900",0.23,1.93
"Vested and expected to vest as at December 31, 2020","5,983,900",0.23,
"Exercisable as at December 31, 2020","5,983,900",0.23,1.93 1.93
"Non vested as at December 31, 2020",,,
"Outstanding as at January 1, 2021","5,983,900",0.23,1.93
Exercised,"(2,992,122)",0.24,
Forfeited,,,1.92
"Outstanding as at December 31, 2021","2,991,778",0.22,丨 1.94
"Vested and expected to vest as at December 31, 2021","2,991,778",0.22,1.94
"Exercisable as at December 31, 2021","2,991,778",0.22,
"Non vested as at December 31, 2021",,,1.94
