,2019 RMB'million,"Year ended December 31, 2020 RMB'million",2021 RMB'million
Earnings,,,
Net income atributable to equity holders of the Company,"3,982","4,155","3,029"
,,Number of shares,
"Shares Weighted average ordinary shares outstanding, used in computing basic earnings per",,,
share,"3,272,754,403","3,313,527,847","3,321,067,177"
Dilution effect- adjustments for share options and RSUs Shares used in computing diluted earnings per share,"74,817,935 3,347,572,338","46,932,912","41,978,580 3,363,045,757"
,,"3,360,460,759",
Basic earnings per share for Class A and Class B ordinary shares,RMB 1.22,RMB 1.25,RMB 0.91
Diluted earnings per share for Class A and Class B ordinary shares,1.19,1.24,0.90
Basic earnings per ADS,2.43,2.51,1.82
Diluted earnings per ADS,2.38,2.47,1.80
