Profit for the year,"Year ended December 31,",RMB'million,RMB'million,RMB'million
Profit for the year,2019,3977,4176,3215
Profit for the year,2020,4176,4176,3215
Profit for the year,2021,3215,3215,3215
"Other comprehensive income, net of tax:",Item that will not be reclassified subsequently to profit or loss,Fair value changes on financial assets at fair value through other comprehensive income,"5,219","2,128,-"
"Other comprehensive income, net of tax:",Item that will not be reclassified subsequently to profit or loss,Currency translation differences,-,"-397,-397"
"Other comprehensive income, net of tax:",Items that may be subsequently reclassified to profit or loss,Currency translation differences,261,"77,19"
"Other comprehensive income, net of tax:",Items that may be subsequently reclassified to profit or loss,Share of other comprehensive (losses)/income of associates,-1,"-9,4"
"Other comprehensive income, net of tax:",Total comprehensive income for the year,"5,268","8,100",713
"Other comprehensive income, net of tax:",Total comprehensive income for the year,"5,268","8,100",713
Attributable to:,Equity holders of the Company,"5,273","8,079",527
Attributable to:,Non-controlling interests,-5,21,186
Attributable to:,Equity holders of the Company,"5,268","8,100",713
