,"For the Year Ended December 31,","For the Year Ended December 31,","For the Year Ended December 31,","For the Year Ended December 31,"
,2019 RMB,2020 RMB,2021 RMB,US$
,,,(in millions),
Revenues,,,,
Online music services to Tencent Group(l),355,277,364,57
Online music services to the Company's associates and associates of Tencent Group,40,206,412,65
"Social entertainment services and others to Tencent Group, the Company's asociates and asociates of Tencent Group",21,213,170,27
Expenses,,,,
Operation expenses recharged by Tencent Group(2),752,"1,082","1,260",198
Advertising agency cost to Tencent Group (3),231,440,652,102
"Content royalties to Tencent Group, the Company's associates and associates of Tencent Group(4)",132,306,541,85
Other costs to the Company's associates and associates of Tencent Group,25,48,176,28
