Note,2019,2020,2021
Revenue from online music services,"7,152","9,349","11,467"
Revenue from social entertainment services and others,"18,282","19,804","19,777"
Total revenues,5,"25,434","29,153,31,244"
Cost of revenues,"(16,761)","(19,851)","(21,840)"
Gross profit,"8,673","9,302","9,404"
Selling and marketing expenses,"(2,041)","(2,475)","(2,678)"
General and administrative expenses,"(2,703)","(3,101)","(4,009)"
Total operating expenses,"(4,744)","(5,576)","(6,687)"
Interest income,6,615,"622,530"
"Other gains, net",7,78,"362,553"
Operating profit,"4,622","4,710","3,800"
Share of net (loss)/profit of investments accounted for using equity method,17,(18),"19,(47)"
Finance costs,9,(64),"(97),(121)"
Profit before income tax,"4,540","4,632","3,632"
Income tax expense,10(a),(563),"(456),(417)"
Profit for the year,"3,977","4,176","3,215"
Attributable to:,Equity holders of the Company,"3,982","4,155,3,029"
Non-controlling interests,(5),21,186
Attributable to:,Equity holders of the Company,"3,977","4,176,3,215"
Earnings per share for Class A and Class B ordinary shares,11,RMB,"RMB,RMB"
Basic,1.22,1.25,0.91
Diluted,1.19,1.24,0.90
Earnings per ADS (2 Class A shares equal to 1 ADS),Basic,2.43,"2.51,1.82"
Diluted,2.38,2.47,1.80
