Class A Ordinary Shares,Class A Ordinary Shares,Class B Ordinary Shares,Class B Ordinary Shares,Total ordinary shares,Total ordinary shares,Percentage of aggregate voting power***
Number,%,Number,%,Number,%,
Directors and Executive Officers†,Directors and Executive Officers†,Directors and Executive Officers†,Directors and Executive Officers†,Directors and Executive Officers†,Directors and Executive Officers†,"Directors and Executive Officers†,Directors and Executive Officers†"
Cussion Kar Shun Pang,*,*,,*,*,"*,*"
Zhu Liang,*,*,,*,*,"*,*"
Zhenyu Xie,*,*,*,*,*,"*,*"
Martin Lau,,,,,,","
James Gordon Mitchel,*,*,,*,*,"*,*"
Brent Richard Irvin,*,*,,*,*,"*,*"
Liang Tang,,,,,,","
Edith Manling Ngan,*,*,,*,*,"*,*"
Adrian Yau Kee Mak,,,,,,","
Min Hu,*,*,,*,*,"*,*"
Cheuk Tung Tony Yip,*,*,,*,*,"*,*"
Linlin Chen,*,*,*,*,*,"*,*"
Lixue Shi,*,*,*,*,*,"*,*"
Tsai Chun Pan,*,*,,*,*,"*,*"
All directors and executive officers as a group,*,*,*,*,*,"*,*"
Principal Shareholders:,Principal Shareholders:,Principal Shareholders:,Principal Shareholders:,Principal Shareholders:,Principal Shareholders:,"Principal Shareholders:,Principal Shareholders:"
Tencent(1),"161,497,857",9.6,"1,640,456,882",95.7,"1,801,954,739","53.2,90.4"
Spotify(2),"282,830,698",16.9,,,"282,830,698","8.3,"
