,2019 RMB'million,2020 RMB'million,2021 RMB'million
Profit before income tax,"4,540","4,632","3,632"
Adjustments for:,,,
Depreciation and amortization,583,824,"1,001"
Impairment provision for investments in associates (Note 17),43,4,
Loss allowance for expected credit losses (Note 20),18,8,9
Non-cash employee benefits expense - share based payments (Note 8),519,569,647
Fair value losses/(gains) on investments (Note 7),37,,(105)
Net (gains)/losses in relation to equity investments,(1),(32),10
Dividend income (Note 7),,,(27)
Gain of step-up acquisition arising from business combination (Note 7),,(19),(8)
Share of loss/(profit) of associates and joint ventures (Note 17),18,(19),47
Interest income (Note 6),(615),(622),(530)
Fair value change on puttable shares,37,37,
Interest expense,31,62,120
Net exchange differences,(4),(2),1
Increase in accounts receivable,(733),(520),(769)
Decrease/(increase) in inventories,9,8,(6)
(Increase)/decrease in other operating assets,(175),(887),408
Increase in accounts payable,717,644,631
Increase in other operating liabilities,"1,164",258,309
Cash generated from operations,"6,188","4,945","5,370"
