,Share-based compensation reserve RMB'million,Contribution from ultimate holding company RMB'million,PRC statutory reserve RMB'million,Foreign currency translation reserve RMB'million,Fair value reserve,Others,Total other reserves
Share of other comprehensive losses of an associate,,,,,,(1),(1)
Share based compensation,519,,,,,,519
Exercise of share options/RSU Additional investments in non-wholly,(465),,,,,,(465)
owned subsidiaries,,,,,,(76),(76)
Profit appropriations to PRC statutory reserves,,,15,,,,15
"At December 31,2019","1,470",463,94,712,356,(908),"2,187"
Currency translation differences Fair value changes on financial assets at,,,,"(1,286)",,,"(1,286)"
fair value through other comprehensive income Share of other comprehensive losses of an,,,,,"5,219",,"5,219"
associate,,,,,,(9),(9)
Share based compensation,569,,,,,,569
Exercise of share options/RSU Additional investments in non-wholly,(429),,,,,,(429)
owned subsidiaries,,,,,,(2),(2)
Profit appropriations to PRC statutory reserves,,,51,,,,51
"At December 31,2020","1,610",463,145,(574),"5,575",(919),"6,300"
Currency translation differences Fair value changes on financial assets at,,,,(378),,,(378)
fair value through other comprehensive income,,,,,"(2,128)",,"(2,128)"
