Period,Total Number of ADSs Purchased,Average Price Paid Per ADS,Total Number of ADSs Purchased as Part of the Publicly Announced Plan,Approximate Dollar Value of ADSs that May Yet Be Purchased Under the Plan
March 2021,2503192,19.87,2503192,950266080.71
April 2021,3827338,17.61,6330530,882874103.37
May 2021,8020966,15.59,14351496,757811273.98
June 2021,1278518,14.96,15630014,738687151.50
July 2021,7671486,13.05,23301500,638610441.50
August 2021,17446231,7.96,40747731,499810442.11
October 2021,,40747731,499810442.11,
November 2021,,40747731,499810442.11,
December 2021,8298598,6.31,49046329,447457875.18
January 2022,,49046329,447457875.18,
February 2022,,49046329,447457875.18,
March 2022,7263402,5.12,56309731,410260298.42
"April, 2022",17040071,4.96,73349802,325687216.10
