,Class A Ordinary Shares,Class A Ordinary Shares,Class B Ordinary Shares,Class B Ordinary Shares,Total ordinary shares,Percentage of,aggregate voting power***
,Number,%,Number,%,Total ordinary shares,Percentage of,aggregate voting power***
Directors and Executive Officerst,,,,,,Number %,
Cussion Kar Shun Pang,,* *,,,,* *,
Zhu Liang,,* *,,,,* *,
,,*,*,*,*,*,*
Zhenyu Xie,,,,,,,
Martin Lau,,*,*,,,,*
James Gordon Mitchel Brent Richard Irvin,,,,,,,
Liang Tang,,,,,,,
Edith Manling Ngan,,,*,,,*,*
Adrian Yau Kee Mak,,,,,,,
Min Hu,,*,,,,*,
Cheuk Tung Tony Yip,,,,,,,
Linlin Chen,,*,*,*,*,,*
Lixue Shi,,,*,*,,,*
Tsai Chun Pan,,,*,,,*,*
All directors and executive officers as a group,,*,,*,*,* *,
Principal Shareholders:,"161,497,857",,"9.61,640,456,88295.71,801,954,739",,,53.2,90.4
Tencent(1) Spotify(2),"282,830,698",16.9,,,"282,830,698",8.3,
