Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,Attributableto equityholdersof the Company Shares held,
,Share capital Note,Additional paid-in capital RMB'millionRMB'million RMB'million,for share award schemes,Treasury shares,Other reserves RMB'million,Retained earnings RMB'million,Total,Non-. controlling interests,Total equity
"Balance at January 1, 2020",,2,"34,425",(31),RMB'million,"2,187","7,007",,"RMB'million RMB'million 43,678"
Profit for the year,,,,,,"4,155","43,590 4,155",88 21,"4,176"
Fair value changes on financial assets at fair,,,,,,,,,
value through other comprehensive income,,,,,,"5,219","5,219",,"5,219"
Share of other comprehensive,,,,,,,,,
losses of an associate,,,,,,(9),,(9),(9)
Currency translation differences,,,,,,,,"(1,286)",
Total comprehensive,,,,,,"(1,286)",,,"(1,286)"
income for the year Transactions with,,,,,,"3,924","4,155","8,079 21","8,100"
equity holders: Exercise of share,,,,,,,,,
"options/ Restricted share units (""RSUs"")","22,23",,,,,,,,190
Non-controlling interests arising from business,,,619,,,(429),,190,
combination Share-based,,,,,,,,367,367
compensation - value,,,,,,,,,
of employee services Shares held for share,"23,24",,,,,569,,569,569
award schemes,22,,,(47),,,,(47),(47)
Repurchase of shares Additional investments,,,,,(134),,,(134),(134)
in non-wholly owned,,,,,,,,,
subsidiaries Disposal of a subsidiary,,,,,,(2),,(2) 10,(2) 10
Appropriations to,,,,,,,,,
statutory reserves Total transactions with,,,,,,51,(51),,
equity holders at,,,,,,,,,
their capacity as,,,,,,,,,
equity holders for,,,,,,,,,
,,,,,,,,,953
the year,,,,,,,,377,
,,,,,(134),,,,
,,,,,,,(51),,
,,,619,(47),,189,,576,
Balance at,,,"35,044",(78),(134),"6,300","11,111","52,245","52,731"
