Exhibit Number,Description of Document
1.1,"TheSixth Amended and Restated Memorandumand Articles of Associationof theRegistrant,as currently ineffect (incorporated hereinbyreferencetoExhbit3.2toteregistratiostatementonForF-1(FileNo.3-22766),asamended,initiallidih the SEC on October 2,2018)."
2.1,"Form ofRegistrant's Specimen American Depositary Receipt(incorporated hereinbyreference toExhibit 4.1 totheregistration statement on FormF-1(File No.333-227656),as amended,initially filed with the SECon October 2,2018)"
2.2,"Registrant's Specimen Certificate for ClassA Ordinary Shares (incorporated hereinbyreference toExhibit 4.2 to theregistration statement on FormF-1(File No.333-227656),asamended,initiallyfiled with the SECon October2,2018)"
2.3,"Form of Deposit Agreementamong the Registrant,the depositaryand holders of the American DepositaryShares (incorporated hereinbyreferenetoEbit(a)toteregistrationstatementoFoF-6(FileNo.-286)smeded,tialledit"
2.4,"the SEC on November 30,2018) Description of Registrant's American Depositary Shares and Class A ordinary shares (incorporated hereinbyreference to Exhibit 2.4 to the annual report for the fiscal year ended December 31,2019 filed with the SEC on March 25,2020)"
2.5,"Descriptionof theRegistrant's US$300,000,0001.375%Notes due2025and US$500,000,0002.000%Notes due 2030 (incorporatedhereinbyreferenceto(i)thesectionitled""DescriptionofDebtSecurities”intheRegistrants’registrationstatement onFormF-3(FileNo.33-248253)fiedwiththe SEConAugust 24,2020and(ii)thesectiontled""DescriptionoftheNotes""in theprospectussupplement,intheformfiledbytheRegistrantwiththeSEConAugust27,2020pursuanttoRule 424(b)underthe"
4.1,"Formof Indemnification Agreement between the Registrant and its directors and executive oficers (incorporated hereinby. referencetoExhbit10.1totheregistratinstatementonForF-1(FileN.33-227656),asamendedintiallfiledwiththeSEC on October 2,2018)."
4.2,"Formof Employment Agreement betweenthe Registrant and executive officersofthe Registrant(incorporated hereinbyreference to Exhibit 10.2totheregistrationstatementonFormF-1(FileNo.33-227656),asamended,initiallyfiled withthe SECon October 2,2018)"
4.3,"The 2014Share Incentive Plan(incorporated hereinbyreference toExhibit 10.3 to theregistration Statement onFormF-1(File No. 333-227656),as amended,initially filed with the SEC on October 2,2018)."
4.4,"The 2017 Share Option Plan(incorporated hereinbyreference to Exhibit 10.4to the registration statementonFormF-1(File No. 333-227656),as amended,initially_filed with the SEC on October 2,2018)"
4.5,"The 2017 Restricted Share Award Scheme (as amended and restated(incorporated herein by reference to Exhibit 10.5 to the registration statementonFormF-1(File No.333-227656),asamended,initiallyfiled withthe SEConOctober 2,2018)"
4.6,"Investor Agreementbyandamong theRegistrant,Tencent HoldingsLimited,SpotifyTechnologyS.A.andSpotifyABdated December 15,2017(incorporated herein by reference to Exhibit 10.14 to the registration statement on FormF-1(File No. 333-227656),as amended, initially filed with the SEC on October 2,2018)."
4.7,"Amendment Agreement dated as of September 26,2018 to the Third Amended and Restated Shareholders Agreement among the Registrant,the shareholders ofthe Registrantandcertainotherparties named therein (incorporated hereinbyreferenceto Exhibit"
4.8,"10.25totheregistratnstatementonFoF-1(FileNo-22766)asameded,itialyediththeSCoOctober8) English translationof Exclusive Technical Service Agreement between BeijingTencent Music and Xizang Qiming.(curently known as Guangxi Hexian)dated February8,2018(incorporated hereinbyreferencetoExhibit10.28totheregistrationstatementonForm"
