Share-based compensation reserve,Contribution from ultimate holding company,PRC statutory reserve,Foreign currency translation reserve,Fair value reserve,Others,Total other reserves
Share of other comprehensive losses of an associate, , , , , , 
Share based compensation,519, , , , ,519
Exercise of share options/RSU,-465, , , , ,-465
Additional investments in non-wholly owned subsidiaries, , , , ,-76,-76
Profit appropriations to PRC statutory reserves, ,15, , , ,15
"At December 31, 2019","1,470",463,94,712,356,"-908,2,187"
Currency translation differences, , ,"-1,286", , ,"-1,286"
Fair value changes on financial assets at fair value through other comprehensive income, , , ,"5,219", ,"5,219"
Share of other comprehensive losses of an associate, , , , ,-9,-9
Share based compensation,569, , , , ,569
Exercise of share options/RSU,-429, , , , ,-429
Additional investments in non-wholly owned subsidiaries, , , , ,-2,-2
Profit appropriations to PRC statutory reserves, , ,51, , ,51
"At December 31, 2020","1,610",463,145,-574,"5,575","-919,6,300"
Currency translation differences, , , ,-378, ,-378
Fair value changes on financial assets at fair value through other comprehensive income, , , ,"-2,128", ,"-2,128"
