"As at December 31,2020,RMB'million","As at December 31,2021,RMB'million"
Included in accounts receivable from related parties:,
Tencent Group (note),1993
The Company’s associates and associates of Tencent Group,48
"Inclu ded in prepayments, deposits and other assets from related parties:",
Tencent Group,39
The Company’s associates and associates of Tencent Group,64
Included in accounts payable to related parties:,
Tencent Group,763
The Company’s associates and associates of Tencent Group,37
Included in other payables and accruals to related parties:,
Tencent Group,237
The Company’s associates and associates of Tencent Group,46
