Servers and network equipment RMB 'million,Leasehold improvements RMB 'million,Office furniture, equipment and others RMB 'million,Total RMB 'million
At January 1, 2020,Cost,59,"41,364"
At January 1, 2020,Accumulated depreciation,140,"33,12,185"
At January 1, 2020,Net book amount,124,"26,29,179"
Year ended December 31, 2020,Opening net book amount,124,"26,29,179"
Year ended December 31, 2020,Additions,53,"11,33,97"
Year ended December 31, 2020,Business combinations,1,"1,2"
Year ended December 31, 2020,Disposals,1,"1,1,1"
Year ended December 31, 2020,Depreciation charge,66,"13,22,101"
Year ended December 31, 2020,Closing net book amount,111,"24,41,176"
At December 31, 2020,Cost,315,"67,70,452"
At December 31, 2020,Accumulated depreciation,204,"43,29,276"
At December 31, 2020,Net book amount,111,"24,41,176"
Year ended December 31, 2021,Opening net book amount,111,"24,41,176"
Year ended December 31, 2021,Additions,32,"81,79,192"
Year ended December 31, 2021,Business combinations,1,"1,2"
Year ended December 31, 2021,Disposals,1,"6,21,28"
Year ended December 31, 2021,Depreciation charge,59,"19,21,99"
Year ended December 31, 2021,Closing net book amount,84,"80,79,243"
At December 31, 2021,Cost,344,"137,128,609"
At December 31, 2021,Accumulated depreciation,260,"57,49,366"
At December 31, 2021,Net book amount,84,"80,79,243"
