Exercise,Exercise,Exercise,"Share options December 31, 2020","Share options December 31, 2021"
Grant Date,Expiry date,price,"Share options December 31, 2020","Share options December 31, 2021"
"March 1, 2015","February 28, 2025",US$0.000076,"278,801","192,800"
"March 1, 2015","February 28, 2025",US$ 0.27,"50,000",
"March 1, 2015","February 28, 2025",US$0.000076,"460,220","292,744"
"March 1, 2015","February 28,2025",US$ 0.27,"417,410","179,020"
"March 30, 2015","March 29, 2025",US$ 0.27,"700,882","403,284"
"October 1, 2015","September 30, 2025",US$ 0.27,"125,100","63,760"
"December 31, 2015","December 30, 2025",US$ 0.27,"599,658","196,016"
"March 1, 2016","February 28,2026",US$ 0.27,"107,889","50,746"
"March 31, 2016","March 30, 2026",US$ 0.27,"98,938","72,634"
"June 30, 2016","June 29, 2026",US$0.000076,"81,638",
"June 30, 2016 Total","June 29, 2026",US$ 0.27,"3,063,364","1,540,774"
,,,"5,983,900","2,991,778"
Weighted average remaining contractual life of options outstanding at end of period:,Weighted average remaining contractual life of options outstanding at end of period:,Weighted average remaining contractual life of options outstanding at end of period:,5.01,3.97
