As of December 31,
2019 RMB 2020 RMB 2021 RMB 2021 US$,
Included in accounts receivable from related parties:,
Tencent Group 1,"653 1,993 2,510 394"
The Company’s associates and associates of Tencent Group 49 48 90 14,
Included in prepayments, deposits and other assets from related parties:
Tencent Group 50 39 51 8,
The Company’s associates and associates of Tencent Group 23 64 142 22,
Included in accounts payable to related parties:,
Tencent Group 215 763 719 113,
The Company’s associates and associates of Tencent Group 15 37 198 31,
Included in other payables and accruals to related parties:,
Tencent Group 382 237 440 69,
The Company’s associates and associates of Tencent Group 19 46 55 9,
