Grant Date,Expiry date,Exercise price,Share options December 31, 2020,Share options December 31, 2021
"March 1, 2015","February 28, 2025",US$0.000076,278801,192800,,
"March 1, 2015","February 28, 2025",US$ 0.27,50000,"—""  ",,
"March 1, 2015","February 28, 2025",US$0.000076,460220,292744,,
"March 1, 2015","February 28, 2025",US$ 0.27,417410,179020,,
"March 30, 2015","March 29, 2025",US$ 0.27,700882,403284,,
"October 1, 2015","September 30, 2025",US$ 0.27,125100,63760,,
"December 31, 2015","December 30, 2025",US$ 0.27,599658,196016,,
"March 1, 2016","February 28, 2026",US$ 0.27,107889,50746,,
"March 31, 2016","March 30, 2026",US$ 0.27,98938,72634,,
"June 30, 2016","June 29, 2026",US$0.000076,81638,"—""  ",,
"June 30, 2016","June 29, 2026",US$ 0.27,3063364,1540774,,
Total,5983900,2991778,Weighted average remaining contractual life of options outstanding at end of period:,5.01,3.97,
