Directors and Executive Officers,Age,Position/Title
Cussion Kar Shun Pang,48,Executive Chairman
Zhu Liang,46,"Chief Executive Officer, Director"
Zhenyu Xie,47,"President, Chief Technology Officer, Director"
Martin Lau,49,Director
James Gordon Mitchell,48,Director
Brent Richard Irvin,49,Director
Liang Tang,44,Independent Director
Edith Manling Ngan,57,Independent Director
Adrian Yau Kee Mak,61,Independent Director
Min Hu,50,Chief Financial Officer
Cheuk Tung Tony Yip,41,"Chief Strategy Officer, Head of Ultimate Music"
Linlin Chen,41,"Group Vice President, Kugou"
Lixue Shi,47,"Group Vice President, Kuwo"
Tsai Chun Pan,47,"Group Vice President, Copyright Management"
