,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held,Attributable to equity holders of the Company Shares held
,,Share capital,Additional paid-in capital,for share award schemes,Other reserves,Retained earnings,Total,Non- controlling,Total
,Note,2,RMB'millionRMB'million,RMB'million,RMB'million,RMB'million,RMB'million,interests RMB'million,equity RMB'mill
"Balance at January 1, 2019 Profit for the year",,,"33,776",,903,"3,040 3,982","37,721 3.982",51 (5),"37.7 3,9"
Fair value changes on financial assets at fair,,,,,,,,,
value through other comprehensive income,,,,,"1,031",,"1,031",,"1,0"
Share of other comprehensive losses of an associate,,,,,(1),,(1),,
Currency translation differences,,,,,261,,261,,2
Total comprehensive income for the year,,,,,"1,291","3,982","5,273",5),"5,2"
Transactions with equity holders:,,,,,,,,,
Issuance of ordinary shares Exercise of share options/ Restricted share units,22,,12,,,,12,,
"(""RSUs"")","22,23",,637,,(465),,172,,1
Non-controlling interests arising from business combination,,,,,,,,48,
Share-based compensation - value of employee,,,,,,,,,
services Shares held for share award schemes,"23,24 22",,,,519,,519,,5
Capital contribution by non-controlling interests,,,,(31),,,(31),2,
Additional investments in non-wholly owned,,,,,,,,,
subsidiaries,,,,,(76),,(76),(8）,
Appropriations to statutory reserves Total transactions with equity holders at,,,,,15,(15),,,
their capacity as equity holders for the,,,,,,,,,
year,,,649,(31),?,(15),596,42,6
"Balance at December 31, 2019",,2,"34,425",(31),"2,187","7,007","43,590",88,"43,6"
