,"Year ended December 31, 2019 2020 2021","Year ended December 31, 2019 2020 2021","Year ended December 31, 2019 2020 2021"
Profit before income tax expense,"RMB'million 4,540","RMB'million 4,632","RMB'million 3,632"
Tax calculated at a tax rate of 25%,"1,135","1,158",908
Effects of different tax rates applicable to different subsidiaries of the Group,(36),34,29
Effects of tax holiday on assessable profit of certain subsidiaries,(88),(214),(34)
Effects of preferential tax rate on assessable profit of certain subsidiaries,(556),(631),(664)
Expense not deductible for tax purposes,133,82,191
Income not subject to tax,一,一,(3)
Unrecognized deferred income tax assets,16,46,27
Utilization of previously unrecognized tax assets,(50),(11),(38)
Others,9,8,1
,563,456,417
