"As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million",,,,
"As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million",2020RMB'million,,,
"As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million","As at December 31,2020 2021RMB'million RMB'million",2020RMB'million,,RMB'million,
Accounts receivableLess: loss allowance for expected credit losses,"2,814",,"3,630",,,,
Accounts receivableLess: loss allowance for expected credit losses,(14),,(20),）,,,
"Accounts receivable, net","2,800",,"3,610",,,,
Ageing analysis of the accounts receivable based on invoice date:,,,,,,,
Up to 3 months,"2,490",,"2,804",,,,
3 to 6 months,165,,321,,,,
Over 6 months,159,,505,,,,
Over 6 months,2.814,,"3,630",,,,
