Ordinary Shares Underlying,,,,
Ordinary Shares Underlying,Equity Awards Granted *,Exercise Price (US$/Share),Date of Grant,Date of Expiration
Cussion Kar Shun Pang,,0 to 7.1411,various dates from,various dates from
Cussion Kar Shun Pang,,,"June 16, 2017 to","June 16, 2027 to"
Cussion Kar Shun Pang,,0 to 7.605,"March 15, 2022","March 15, 2032"
Zhu Liang,*,,"various dates from June 16,2017 to",various dates from
Zhu Liang,,,"March 15, 2022","June 16,2027 to March 15, 2032"
Zhu Liang,*,0 to 7.1411,,
Zhenyu Xie,,,"various dates from October 17, 2018 to","various dates from October 17, 2028 t0"
Zhenyu Xie,,,"March 15, 2022","March 15, 2032"
Zhenyu Xie,,,,
Martin Lau James Gordon Mitchell,,,,
Brent Richard Irvin,,,,
Liang Tang,,,,
Edith Manling Ngan,*,0,"December 15, 2021","December 15,2031"
Adrian Yau Kee Mak,*,0,"November 15, 2021","November 15, 2031"
Min Hu,*,0 to 7.1411,various dates from,various dates from
Cheuk Tung Tony Yip,,,"December 20,2017 to","December 20,2027 to"
Cheuk Tung Tony Yip,,,"March 15, 2022","March 15, 2032"
Cheuk Tung Tony Yip,*,0 to 7.1411,various dates from,various dates from
Linlin Chen,,,"April 16, 2018 to","April 16, 2028 to"
Linlin Chen,*,,"March 15, 2022","March 15, 2032"
Linlin Chen,,0 to 7.1411,various dates from,various dates from
,,,"October 17,2018 to","October 17,2028 to"
,,,"March 15, 2022","March 15,2032"
Lixue Shi,,0 to 7.1411,various dates from,various dates from
Lixue Shi,,,"October 17, 2018 to","October 17, 2028 to"
Lixue Shi,*,,"March 15, 2022","March 15, 2032"
Tsai Chun Pan,,0 to 6.2,various dates from,various dates from
Tsai Chun Pan,,,"January 21,2019 to","January 21,2029 to"
Tsai Chun Pan,,,"March 15,2022","March 15,2032"
All directors and executive officers as a group,*,0 to 7.605,Various dates from,Various dates from
All directors and executive officers as a group,,,"June 16, 2017 to","June 16, 2027 to"
,,,"March 15, 2022","March 15,2032"
