"Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696",,,,,,,,,,,,
"Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","Domainname,trademarkandInternetaudio/videoprogram Corporatetransmission Supplier customer Non-competelicense Copyrights resources relationships agreement Others TotalRMB'million RMB'million RMB'million RMB'million RMB'million RMB'million RMB'million At January 1, 2020Cost 1,340 544 335 185 156 136 2,696","1,340",544,544,544,335,,185,185,156 136,156 136,156 136,"2,696"
Accumulated amortization,(403),(170),(170),,(175),,(141),(141),(104) (81),(104) (81),(104) (81),"(1,074)",,,,,,,,,,,,
Net book amount,937,374,374,,160,160,44,44,52 55,52 55,52 55,"1,622",,,,,,,,,,,,
"Year ended December 31, 2020",,,,,,,,,,,,,,,,,,,,,,,,
Opening net book amount,937,374,374,,160,160,44,44,52,52,55,"1,622",,,,,,,,,,,,
Additions,,,876,,,,,,,,13,889,,,,,,,,,,,,
Business combinations,,,145,,,,,,,,1,146,,,,,,,,,,,,
Amortization charge,(116),,(365),,(51),,(40),(40),(34),(34),(31),(637),,,,,,,,,,,,
Closing net book amount,821,,"1,030",,109,,4,4,18,,38,"2,020",,,,,,,,,,,,
