Note,Share capital RMB'million,Additional paid-in capital RMB'million,Shares held for share award schemes RMB'million,Other reserves RMB'million,Retained earnings RMB'million,Total RMB'million,Non-controlling interests RMB'million,Total equity RMB'million
Balance at January 1, 2019,2,33,776,903,3,040,"3,982,37,721,51,37,721"
Profit for the year,--,--,--,--,3,982,--,"3,982"
Fair value changes on financial assets at fair value through other comprehensive income,--,--,--,1,031,--,1,"031,1,031"
Share of other comprehensive losses of an associate,--,--,--,1,--,1,1,
Currency translation differences,--,--,--,261,--,261,261,
Total comprehensive income for the year,--,--,--,3,982,5,273,"--,5,273"
Transactions with equity holders:,Issuance of ordinary shares,22,--,12,--,--,12,--
"Exercise of share options/ Restricted share units (""RSUs"")",22,23,637,--,465,--,172,1
Non-controlling interests arising from business combination,--,--,--,--,--,48,48,
Share-based compensation - value of employee services,23,24,--,--,519,--,519,
Shares held for share award schemes,22,--,--,--,--,31,31,
Capital contribution by non-controlling interests,--,--,--,--,--,2,2,
Additional investments in non-wholly owned subsidiaries,--,--,--,--,--,76,76,
Appropriations to statutory reserves,--,--,--,15,--,--,15,
Total transactions with equity holders at their capacity as equity holders for the year,--,649,31,7,596,42,--,6
Balance at December 31, 2019,2,34,425,2,187,7,"007,43,590,88,43,6"
