,,Weighted- average exercise,Weighted- average grant date fair
,Number of options,uss,value (Us$)
"Outstanding as at January 1, 2019","36,086,303",2.75,2.24
Granted,"1,993,780",7.05,3.00
Exercised,"(9,696,202)",1.78,1.95
Forfeited,"(1,743,373)",2.67,2.33
"Outstanding as at December 31, 2019","26,640,508",3.43,2.39
"Vested and expected to vest as at December 31, 2019","25,329,481",3.44,2.38
"Exercisable as at December 31, 2019 Non vested as at December 31, 2019","6,065,968",2.45 3.71,2.04 2.50
"Outstanding as at January 1, 2020","20,574,540",3.43,
Granted,"26,640,508",6.44,2.39 2.70
Exercised,"4,992,390 (10,026,018)",2.64,
Forfeited,"(455,694)",6.27,1.92 3.01
"Outstanding as at December 31, 2020","21,151,186",4.45,2.68
"Vested and expected to vest as at December 31,2020","20,097,190",4.44,2.68
"Exercisable as at December 31, 2020","4,762,058",3.05,2.74
"Non vested as at December 31, 2020","16,389,128",4.86,2.66
"Outstanding as at January 1, 2021","21,151,186",4.45,2.68
Granted,"8,543,982",5.54,
Exercised,"(4,360,740)",1.92,2.81
Forfeited,"(541,488)",5.70,2.26 2.90
"Outstanding as at December 31, 2021","24,792,940",5.24,
"Vested and expected to vest as at December 31, 2021","23,552,634",5.21,2.79
"Exercisable as at December 31, 2021","9,580,612",4.00,2.79
"Non vested as at December 31,2021","15,212,328",6.03,2.64 2.88
