"As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743",,,
"As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743","As at December 31,2020 2021RMB'million RMB'million Included in non-current assets Prepaid contents royalties 956 743",956,956,743
,956,956,743,,,
Included in current assets Prepaid contents royalties Value-added tax recoverablePrepaid vendors deposits and other receivables,,,,,,
Included in current assets Prepaid contents royalties Value-added tax recoverablePrepaid vendors deposits and other receivables,"1,882","1,882","1,755",,,
Included in current assets Prepaid contents royalties Value-added tax recoverablePrepaid vendors deposits and other receivables,149,149,136,,,
Included in current assets Prepaid contents royalties Value-added tax recoverablePrepaid vendors deposits and other receivables,484,484,404,,,
Prepaid promotion and other expensesReceivable from Tencent (Note 32(b)),239,239,329,,,
Prepaid promotion and other expensesReceivable from Tencent (Note 32(b)),,,51,,,
Others,53,,56,,,
Others,2.846,2.846,"2,731",,,
