,"Year ended December 31, 2019 2020 RMB'million RMB'million","Year ended December 31, 2019 2020 RMB'million RMB'million","Year ended December 31, 2019 2020 RMB'million RMB'million"
Profit for the year,"3,977","4,176","RMB'million 3,215"
"Other comprehensive income, net of tax:",,,
Item that will not be reclassified subsequently_to profit or loss,,,
Fair value changes on financial assets at fair value through other comprehensive income,"1,031","5,219","(2,128)"
Currency translation differences,,"(1,363)",(397)
Itemsthatmay besubsequentlyreclassifiedtoprofitorloss,,,
Currency translation differences,261,77,19
Share of other comprehensive (losses)/income of associates,(1,9),4
Total comprehensive income for the year,"5,268","8,100",713
Attributable to:,,,
Equity holders of the Company,"5,273","8,079",527
Non-controlling interests,(5),21,186
,"5,268","8,100",713
