Common Stock,Paid-in Capital,Retained Earnings,Treasury Common Stock,AOCI,"Balance, December 31, 2017"
"$ 1,741","$ 1,776","$ 34,662","$(27,458)",$(384),
2018,,,"5,580",,
"Net income,",,,"5,580",,
",Dividends declared and paid ($2.63 per share),",,"(2,555)",,,
",Common stock issued for stock-based awards,,,428,",,,,428,
",Stock repurchases,,,""(5,100)"",",,,"(5,100)",,
",Stock compensation,,,,",,,,,
"Other comprehensive income (loss), net of taxes,,,,,(59)",,,,(59),
",Dividend equivalents on RSUs,,,""(17)"",",,,(17),,
",Cumulative effect of accounting changes,,236,(30)",236,,,(30),
"Other,,,,",-3,,,-30,
"Balance, December 31, 2018,,,,(473)","1,741","1,950","37,906","(32,130)",(473)
2019,,,,,
"Net income,,,","5,017",,,,
",Dividends declared and paid ($3.21 per share),,,(3,008)",,,"(3,008)",,
",Common stock issued for stock-based awards,,,594,",,,,594,
",Stock repurchases,,一,""(2,960)"",",,,"(2,960)",,
",Stock compensation,,,217,",,217,,,
"Other comprehensive income (loss), net of taxes,,,,126",,,,126,
",Dividend equivalents on RSUs,,,""(17)"",",,,(17),,
"Other,,,,(2),,1,",-2,,,1,
"Balance, December 31, 2019,,,,(347)","1,741","2,110","39,898","(34,495)",(347)
2020,,,,,
"Net income,,,","5,595",,,,
",Dividends declared and paid ($3.72 per share),,,(3,426)",,,"(3,426)",,
",Common stock issued for stock-based awards,,,470,",,,,470,
",Stock repurchases,,,,(2,553)",,,"(2,553)",,
",Stock compensation,,,224,",,224,,,
"Other comprehensive income (loss), net of taxes,,,,(13)",,,,-13,
",Dividend equivalents on RSUs,,,""(16)"",",,,(16),,
"Other,,,,(1),,",-1,,,0,
"Balance, December 31, 2020,,,,(360)","$ 1,741","$ 2,333","$ 42,051","$(36,578)",$(360)
