Stock Options,RSUs,Treasury Shares
757,657,"217,49,482,220,757,657,217"
-8,432,"458,-2,769,994,-,8,432,458,-2,769,994,-"
,-,"553,720,-,553,720,-"
-819,878,"-,819,878,-"
,-,"5,181,-,5,181,-"
-9,252,"336,-2,216,274,-11,468,610,-9,252,336,-2,216,274,-11,468,610"
795,665,"646,27,398,701,795,665,646,27,398,701"
-11,529,"174,-2,370,762,-,11,529,174,-2,370,762,-"
,-,"490,347,-,490,347,-"
-798,806,"-,798,806,-"
,-,"71,571,-,71,571,-"
-12,327,"980,-1,880,415,-14,208,395,-12,327,980,-1,880,415,-14,208,395"
808,784,"381,23,430,215,808,784,381,23,430,215"
-8,392,"354,-2,034,933,-,8,392,354,-2,034,933,-"
,-,"421,518,-,421,518,-"
-745,483,"-,745,483,-"
,-,"1,557,-,1,557,-"
-9,137,"837,-1,613,415,-10,751,252,-9,137,837,-1,613,415,-10,751,252"
821,461,"787,,821,461,787,"
