Level1,"December 31,2020","December 31,2020",,Other (a),Total
Assets of U.S. defined benefit plan:,,,,$ 743,"$ 743,$ 743"
"Assets of U.S. defined benefit plan:,Fixed income securities and cash equivalents",,,,$ 743,"$ 743,$ 743"
Assets of U.S. defined benefit plan:,Equity securities,,,$ 318,"$ 318,$ 318"
"Assets of U.S. defined benefit plan:,Total",,,,"$ 1,061","$ 1,061,$ 1,061"
Assets of U.S. retiree health care plan:,Fixed income securities and cash equivalents,,,$ 29,"$ 251,$ 222"
"Assets of U.S. retiree health care plan:,Equity securities",,,,$ 138,"$ 138,$ 138"
"Assets of U.S. retiree health care plan:,Total",,,,$ 360,"$ 389,$ 389"
Assets of non-U.S. defined benefit plans:,Fixed income securities and cash equivalents,,,$ 69,"$ 2,278,$ 146"
"Assets of non-U.S. defined benefit plans:,Equity securities",,,,$ 43,"$ 730,$ 2"
"Assets of non-U.S. defined benefit plans:,Total",,,,$ 112,"$ 3,008,$ 148"
