Officer,Year,Grant Date Fair Value *,Stock Options (In Shares),Restricted Stock Units (In Shares)
R. K. Templeton,2020,"$13,000,042","254,216","49,801"
R. K. Templeton,2019,"$13,000,057","294,627","62,255"
R. K. Templeton,2018,"$12,000,110","258,403","54,472"
R. R. Lizardi,2020,"$ 3,300,044",64,"532,12,642"
H. Ilan,2020,"$ 4,500,043",87,"998,17,239"
R. R. Lizardi,2019,"$ 3,000,064",67,"991,14,367"
H. Ilan,2019,"$ 3,800,062",86,"122,18,198"
R. R. Lizardi,2018,"$ 2,400,097",51,"681,10,895"
H. Ilan,2018,"$ 3,800,103",81,"828,17,250"
K. Flessner,2020,"$ 3,600,024",70,"399,13,791"
H. Kozanian,2020,"$ 3,000,089",58,"666,11,493"
N. Anderskouv,2020,"$ 3,800,133",74,"310,14,558"
N. Anderskouv,2019,"$ 3,800,062",86,"122,18,198"
N. Anderskouv,2018,"$ 3,800,103",81,"828,17,250"
