,"For Years Ended December 31,","For Years Ended December 31,","For Years Ended December 31,",Impact to Related Statement of Income Lines
,2020,2019,2018,Impact to Related Statement of Income Lines
Net actuarial losses of defined benefit plans:,,,,
Recognized net actuarial loss and settlement losses (a)... $ 38,,$51,$65,Decrease to OI&E
Tax effect ..,(9),(13),(15),Decrease to provision for income taxes
"Recognized within net income, net of taxes....",$29,$38,$50,Decrease to net income
Prior service credit of defined benefit plans:,,,,
Amortization of prior service credit (a)..,$(1),$｜,$(4),Increase to OI&E
Tax effect..,,,1,Increase to provision for income taxes
"Recognized within net income, net of taxes",$(1)$-,,$(3),Increase to net income
