Name,Age,Position
Ahmad S. Bahai,58,Senior Vice President
Kyle M. Flessner,50,Senior Vice President
Mark S. Gary,46,Senior Vice President
Haviv Ilan,52,Executive Vice President and Chief Operating Officer
Hagop H. Kozanian,38,Senior Vice President
Rafael R. Lizardi,48,"Senior Vice President,Chief Financial Officer and Chief Accounting Officer"
Amichai Ron,43,Senior Vice President
Richard K. Templeton,62,"Director,Chairman of the Board,President and Chief Executive Officer"
Cynthia Hoff Trochu,57,"Senior Vice President,Secretary and General Counsel"
Julie M. Van Haren,51,Senior Vice President
Darla H. Whitaker,55,Senior Vice President
