"December 31,2020",2019
Notes due 2020 at 1.75%,$1
Notes due 2021 at 2.75%,550
Notes due 2022 at 1.85%,500
Notes due 2023 at 2.25%,500
Notes due 2024 at 2.625%,300
Notes due 2025 at 1.375%,750
Notes due 2027 at 2.90%,500
Notes due 2029 at 2.25%,750
Notes due 2030 at 1.75%,750
Notes due 2039 at 3.875%,750
Notes due 2048 at 4.15%,"1,500"
Total debt,"6,850"
"Net unamortized discounts, premiums and issuance costs",-52
"Total debt, including net unamortized discounts, premiums and issuance costs","6,798"
Current portion of long-term debt,-550
Long-term debt,"6,248"
