Qualifications and experience,Independence,Multinational experience,Executive leadership (public or private),"Technology, research and development",Manufacturing,End market knowledge,"Regulatory, public policy or legal",Other public board service,Financial acumen,Auditing/accounting,Tenure (years),Age (years),Gender,Race/Ethnicity *
Mark A. Blinn, , , , , , , , , , ,8,59,M,W
Todd M. Bluedorn, , , , , , , , , , ,4,57,M,W
Janet F. Clark, , , , , , , , , , ,6,66,F,W
Carrie S. Cox, , , , , , , , , , ,17,63,F,W
Martin S. Craighead, , , , , , , , , , ,3,61,M,W
Jean M. Hobby, , , , , , , , , , ,5,60,F,W
Michael D. Hsu, , , , , , , , , , ,1,56,M,A
Ronald Kirk, , , , , , , , , , ,8,66,M,B
Pamela H. Patsley, , , , , , , , , , ,17,64,F,W
Robert E. Sanchez, , , , , , , , , , ,10,55,M,H
Richard K. Templeton, , , , , , , , , , ,18,62,M,W
