Base Salary,Base Salary
Purpose,"Basic,least variable form of compensation, designed to provide a stable source of income."
Strategy,"Generally, target market median, giving appropriate consideration to job scope and tenure,to atract and retain highly qualified executives."
Terms,Paid twice monthly.
Profit Sharing,Profit Sharing
Purpose,Broad-based program designed to emphasize that each employee contributes to the company's profitability and can share in it.
Strategy,"Pay according to a formula that is the same for all employees to focus them on acompany goal, and set pay- out potential at a level that willaffect behavior. Profit sharing is paid in addition to any performance bonus awarded for the year."
,"For the last 16 years, the formula has been based on company-level annual operating profit margin. The formula was set by the TI board.The committee's practice has been not to adjust amounts earned under the formula."
Terms,Payable in a single cash payment shortly after the end of the performance year.
,"As in recent years, the formula for 2020 was:"
,"Below 10% company-level annual operating profit as a percentage of revenue (""Margin""): no profit sharing"
,At10% Margin: profit sharing= 2% ofbase salary
,"At Margin above 10%: profit sharing increases by O.5% of base salary for each percentage point of Margin between 10% and 24%,and 1% of base salary for each percentage point of Margin above 24%. The maximum profit sharing is 20% of base salary."
received profit sharing of 2O% of base salary.,"In 2020,TI delivered Margin of 40.8%. As a result, all eligible employees,including executive officers,"
Performance Bonus Purpose,To motivate executives and reward them according to the company's relative and absolute performance and the executive's individual performance.
Strategy,"Determined primarily on the basis of one-year and three-year company performance on certain measures (revenue growth percent, operating margin and total shareholder returnl) as compared with competitors and on our strategic progress in key markets and with customers. These factors have been chosen to reflect our"
,"near-term financial performance as wel as our progress in building long-term shareholder value. The commitee aims to pay total cash compensation (base salary, profit sharing and bonus) appropriately above median if company performance is above that of competitors, and pay total cash compensation"
,"appropriately below the median if company performance is below competitors. The commitee does not rely on formulas or performance targets or thresholds. Instead,it uses its judgment"
Terms,based on its assessment of the factors described above. Determined by the committee and paid in a single payment after the performance year.
"Long-term compensation, awarded in equity","Long-term compensation, awarded in equity"
Stock Options and Restricted Stock Units Purpose,"Alignment with shareholders; long-term focus; balance retention,particularly with respect to restricted stock units, and performance."
Strategy,"We grant a combination of nonqualified stock options and restricted stock units, generally targeted at the median level of equity compensation awarded to executives in similar positions within the Comparator"
Terms,"Group. The committee does not rely on formulas or performance targets or thresholds. The terms and conditions of stock options and restricted stock units are summarized under “Outstanding equity awards at fiscal year-end 2O20.” The commitee's grant procedures are described under “Process for equity grants."""
"lTotal shareholder return refers to the percentage change inthevalue ofa shareholder's investment ina company over the relevant time period,asdeterminedbydividends paidandthechange in thecompany'sshare priceduring the period.See notes","lTotal shareholder return refers to the percentage change inthevalue ofa shareholder's investment ina company over the relevant time period,asdeterminedbydividends paidandthechange in thecompany'sshare priceduring the period.See notes"
