,"December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019","December 31,2019",
,Level 1,,Level2,Other (a),,Total,
Assets of U.S. defined benefit plan:,,,,$,,,
Fixed income securities and cash equivalents.,$,,$,,640,$,640
Equity securities .,,,,,347,,347
Total..,$,,$,$,987,$,987
Assets of U.S. retiree health care plan:,,,,,,,
Fixed income securities and cash equivalents.,$,62,$,,168,$,230
Equity securities,,,,,126,,126
Total..,$,62,$,$,294,$,356
Assets of non-U.S.defined benefit plans:,,,,,,,
Fixed income securities and cash equivalents. Equity securities,$,59,$,126,"$1,762",,"$1,947"
,,41,,2,671,,714
Total..,$,100,$,128,"$2,433",,"$2,661"
