Company,Revenue ($ Billion) *,Market Cap ($ Billion) *
Intel Corporation,78.1,204.2
"Cisco Systems, Inc.",48.1,189.1
Accenture plc...,44.7,172.8
Honeywell International Inc.,33.2,149.2
3M Company....,31.7,100.8
Thermo Fisher Scientific Inc.,28.5,184.6
Medtronic Public Limited Company,27.9,157.7
Broadcom Inc...,23.9,178.1
QUALCOMM Incorporated.,21.7,172.3
DXC Technology Company.,18.9,6.6
"Applied Materials, Inc..",17.2,78.8
Emerson Electric Co...,16.8,48.1
Western Digital Corporatio..,16.6,16.9
Nvidia Corporation..,14.8,323.2
TE Connectivity Ltd..,12.2,40.0
Corning Incorporated.,10.8,27.5
"Motorola Solutions,In..",7.5,28.8
"Analog Devices, Inc..",5.6,54.6
Median..,,
Texas Instruments Incorporated,20.3 13.7,125.0
