Change in Pension Value and,Change in Pension Value and,Change in Pension Value and,Change in Pension Value and,Change in Pension Value and,Change in Pension Value and,Change in Pension Value and,Change in Pension Value and
Name,Fees Earned or Paid in Cash ($) (2),Stock Awards ($)(3),Option Awards ($)(4),Non-Equity Incentive Plan Compensation ($),Non-qualified Deferred Compensation Earnings (5),All Other Compensation ($)(6),Total ($)
M.A. Blinn.....,"$140,000","$ 99,978","$100,000",,,$ 40,"$340,018"
T. M. Bluedorn ...,"$110,000","$ 99,978","$100,000",,,$ 40,"$310,018"
J. F. Clark .,"$110,000","$ 99,978","$100,000",,,"$30,040","$340,018"
C. S. Cox .,"$110,000","$99,978","$100,000",,"$2,608","$25,040","$337,626"
M. S. Craighead..,"$110,000","$99,978","$100,000",,,"$27,540","$337,518"
J. M. Hobby.,"$110,000","$ 99,978","$100,000",,,"$12,540","$322,518"
M. D. Hsu (.)...,"$ 82,500","$199,981",,,,$ 40,"$282,521"
R. Kirk......,"$153,333","$ 99,978","$100,000",,,"$25,040","$378,351"
P. H. Patsley,"$141,667","$ 99,978","$100,000",,,"$30,040","$371,685"
R.E. Sanche.....,"$110,000","$ 99,978","$100,000",,,"$30,040","$340,018"
