,2020,2020,2020,2019,2019,2019,2018,2018,2018
,Net,,,Net,,,Net,,
,Income,Shares,EPS,Income,Shares,EPS,Income,Shares,EPS
Basic EPS:,,,,,,,,,
Net income.... Income allocated to RSUs..,". $5,595",,,"$5,017",,,"$5,580",,
"Income allocated to common stock... $5,568",(27),921,$6.05,"(32) $4,985",936,$5.33,"(43) $5,537",970,$5.71
Dilutive effect of stock,,,,,,,,,
compensation plans..,,12,,,16,,,20,
Diluted EPS:,,,,,,,,,
Net income ...,". $5,595",,,"$5,017",,,"$5,580",,
Income allocated to RSUs .,(27),,$5.97,(31),952,,(42),,
"Income allocated to common stock.... $5,568",,933,,"$4,986",,$5.24,"$5,538",990,$5.59
