"Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·","Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·","Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·",,
"Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·","Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·","Assets Current assets: Cash and cash equivalents . $3,107 $ 2,437... Short-term investme.nt.. 3,461 2.950....·","3,461 2.950","3,461 2.950"
"Accounts receivable,.netof.allowancesof($1)and ($8).. Raw materials...... .",,"1,414 1,074180 176",,
Work in process... Finished goods... *-*·Inventories.... *.,964 916,964 916,,
Work in process... Finished goods... *-*·Inventories.... *.,811 909,811 909,,
Work in process... Finished goods... *-*·Inventories.... *.,"1,955 2.001","1,955 2.001",,
Prepaid expe.saothe c.urre.tasets.Total current ase.. ..,302 299,302 299,,
Prepaid expe.saothe c.urre.tasets.Total current ase.. ..,"10,239 8,761","10,239 8,761",,
"Property, plant and equipment at cost.. -*-*********.·Accumulated depreciatio. *·",,"5,781 5,740",,
"Property, plant and equipment at cost.. -*-*********.·Accumulated depreciatio. *·","(2,512) (2.437)","(2,512) (2.437)",,
"Property, plant and equipment at cost.. -*-*********.·Accumulated depreciatio. *·",Long-term investmen... *,,"3,269 3,303",
49 300,49 300,,,
Goodwill...... *,Long-term investmen... *,,"4,362 4,362",
Deferred tax sse. ·,,152 340343 197,,
Capitaie..ofar ces.,,122 69,,
Capitaie..ofar ces. Overfunded retirement plans . Other long-term assets..,,246 218,,
Capitaie..ofar ces. Overfunded retirement plans . Other long-term assets..,569 468,569 468,,
Total assets. ..·,,"$ 19,351 $18,018",,
Liabilities and stockholders'equityCurrent liabilities:Current portion of long-term de...,,$ 550 $ 500,,
Liabilities and stockholders'equityCurrent liabilities:Current portion of long-term de...,415 388767 714134 46,415 388767 714134 46,,
Accrued compensatio... Income taxes payable...Accrue expe.saotherlibilitie..Total current liabilite.. *·Long-term debt...,415 388767 714134 46,415 388767 714134 46,,
Accrued compensatio... Income taxes payable...Accrue expe.saotherlibilitie..Total current liabilite.. *·Long-term debt...,524 475,524 475,,
Accrued compensatio... Income taxes payable...Accrue expe.saotherlibilitie..Total current liabilite.. *·Long-term debt...,"2,390 2,123","2,390 2,123",,
Accrued compensatio... Income taxes payable...Accrue expe.saotherlibilitie..Total current liabilite.. *·Long-term debt...,"6,248 5,303131 9390 78","6,248 5,303131 9390 78",,
Une.eetim.tp.lans.,"6,248 5,303131 9390 78","6,248 5,303131 9390 78",,
Une.eetim.tp.lans.,"6,248 5,303131 9390 78","6,248 5,303131 9390 78",,
