,,,,All Other Option Awards: Numberof Securities Underlying Options (#) (3),Exercise or Base Price of Option Awards,Grant Date Fair Value of Stock and Option
Name,Grant Date,Date of Committee Action,Number of Shares of Stock or Units (#) (2),All Other Option Awards: Numberof Securities Underlying Options (#) (3),Exercise or Base Price of Option Awards,Grant Date Fair Value of Stock and Option
R.K.Templeton.,1/24/2020 (1),1/16/2020,,"254,216",($/Sh)(4) $130.52,"Awards (5) $ 6,500,015"
R. R. Lizardi..,1/24/2020 (1),1/16/2020,"49,801",,,"$6,500,027"
R. R. Lizardi..,1/24/2020 (1),1/16/2020,,"64,532",$130.52,"$1,650,010"
H. Ilan.,1/24/2020 (1),1/16/2020,"12,642",,,"$1,650,034"
H. Ilan.,1/24/2020 (1),1/16/2020,"17,239","87,998",$130.52,"$2,250,009"
K.M. Flessner..,1/24/2020 (1),1/16/2020,,,,"$2,250,034"
K.M. Flessner..,1/24/2020 (1),1/16/2020,"13,791","70,399",$130.52,"$1,800,023"
H. H. Kozanian..,1/24/2020 (1),1/16/2020,,,,"$1,800,001"
H. H. Kozanian..,1/24/2020 (1),1/16/2020,"11,493","58,666",$130.52,"$1,500,023"
N. Anderskouv...,1/24/2020 (1),1/16/2020,,,,"$1,500,066"
N. Anderskouv...,1/24/2020 (1) 1/24/2020 (1),1/16/2020 1/16/2020,"14,558","74,310",$130.52,"$1,900,023 $1,900,110"
