Designation ofExhibit,Description of Exhibit,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Designation ofExhibit,Description of Exhibit,Form,File Number,Date of Filing,Exhibit Number,Filed or Furnished Herewith
3(a),"Restated Certificate of Incorporation of the Registrant, dated April 18, 1985, as amended",10-K,001-3761,"February 24, 2015",3(a),
3(b),By-Laws of the Registrant,8-K,001-3761,"July 16,2020",3,
4(a),Indenture,8-K,001-3761,"May 23, 2011",4.2,
4（b),Officer's Certificate,8-K,001-3761,"May 8,2013",4.2,
4(c),Officer's Certificate,8-K,001-3761,"March 12, 2014",4.2,
4(d),Officer's Certificate,8-K,001-3761,"May 6,2016",4.1,
4(e),Officer's Certificate,8-K,001-3761,"May 4, 2017",4.1,
4（,Officer's Certificate,8-K,001-3761,"November 3,2017",4.1,
4(g),Officer's Certificate,8-K,001-3761,"May 7,2018",4.1,
4(h),Officer's Certificate,8-K,001-3761,"June 8,2018",4.1,
4(i),Officer's Certificate,8-K,001-3761,"March 11, 2019",4.1,
4,Officer's Certificate,8-K,001-3761,"September 4, 2019",4.1,
4(k),Officer's Certificate,8-K,001-3761,"March 12, 2020",4.1,
4(1),Officer's Certificate,8-K,001-3761,"May 4,2020",4.1,
4(m),"Description of Securities TI Deferred Compensation Plan, as",10-K,001-3761,"February 20, 2020",4(1),
10(a),amended *,10-K,001-3761,"February 24,2016",10(a),
10(b),"TI Employees Non-Qualified Pension Plan, effective January 1,2009,as amended *",10-K,001-3761,"February 24, 2016",10(b),
10(c),TI Employees Non-Qualified Pension Plan II *,10-K,001-3761,"February 24,2016",10(c）,
10(d),"Texas Instruments Long-Term Incentive Plan, adopted April 15,1993 *",10-K,001-3761,"February 24, 2012",10(c),
10(e),"Texas Instruments 2003 Director Compensation Plan as amended January 19,2012",10-K,001-3761,"February 24,2015",10i),
10(f),Form of Non-Qualified Stock Option Agreement for Executive Offcers under the Texas Instruments 2009 Long-Term Incentive Plan *,10-K,001-3761,"February 23, 2017",10(k),
Designation ofExhibit,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Description of Exhibit,,Form,File Number,Date of Filing,Exhibit Number,Filed or Furnished Herewith
10(g),Form of Restricted Stock Unit Award Agreement for Executive Officers under the Texas Instruments 2009 Long-Term Incentive Plan *,10-K,001-3761,"February 23, 2017",10(1),
10(h),"Texas Instruments 2009 Long-Term Incentive Plan as amended April 21,2016 *",DEF 14A,001-3761,"March 9,2016",Appendix B,
10(i),"Texas Instruments 2009 Director Compensation Plan as amended January 19, 2012",10-K,001-3761,"February 23, 2017",10(n),
10i,"Texas Instruments 2018 Director Compensation Plan as amended December 5,2019",10-K,001-3761,"February 20,2020",10(k),
21,List of Subsidiaries of the Registrant,,,,,X
23,Consent of Independent Registered Public Accounting Firm,,,,,X
31(a),Rule 13a-14(aRule 13a-14(a)/15(d)-14(a) Certification of Chief Executive Officer,,,,,X
31(b),Rule 13a-14(a)/15(d)-14(a) Certification of Chief Financial Officer,,,,,X
32(a),Section 1350 Certification of Chief Executive Officer,,,,,X
32(b),Section 1350 Certification of Chief Financial Officer,,,,,X
101.ins,Instance Document,,,,,X
101.sch,XBRL Taxonomy Schema,,,,,X
101.cal,XBRL Taxonomy Calculation Linkbase,,,,,X
101.def,XBRL Taxonomy Definitions Document,,,,,X
101.lab,XBRL Taxonomy Labels Linkbase,,,,,X
101.pre,XBRL Taxonomy Presentation Linkbase,,,,,X
104,Cover Page Interactive Data File (embedded within the Inline XBRL document),,,,,X
