Common Stock,Paid-in Capital,Retained Earnings,Treasury Common Stock,AOCI,"Balance, December 31, 2017"
"$ 1,741","$ 1,776","$ 34,662","$(27,458)",$(384),
2018,Net income,,"5,580",,
,Dividends declared and paid ($2.63 per share),,"(2,555)",,
,Common stock issued for stock-based awards,,,428,
,Stock repurchases,,,"(5,100)",
,Stock compensation,,,,
,"Other comprehensive income (loss), net of taxes",,,(59),
,Dividend equivalents on RSUs,,,(17),
,Cumulative effect of accounting changes,,236,(30),
,Other,,,,
,"Balance, December 31, 2018",,"37,906","(32,130)",(473)
2019,Net income,,"5,017",,
,Dividends declared and paid ($3.21 per share),,"(3,008)",,
,Common stock issued for stock-based awards,,,594,
,Stock repurchases,,,"(2,960)",
,Stock compensation,,,217,
,"Other comprehensive income (loss), net of taxes",,,126,
,Dividend equivalents on RSUs,,,(17),
,Other,,,(2),"1,"
,"Balance, December 31, 2019",,"39,898","(34,495)",(347)
2020,Net income,,"5,595",,
,Dividends declared and paid ($3.72 per share),,"(3,426)",,
,Common stock issued for stock-based awards,,,470,
,Stock repurchases,,,"(2,553)",
,Stock compensation,,,224,
,"Other comprehensive income (loss), net of taxes",,,(13),
,Dividend equivalents on RSUs,,,(16),
,Other,,,(1),","
,"Balance, December 31, 2020",,"42,051","(36,578)",(360)
