Name,"Shares Owned at December 31, 2020",Percent of Class,Directors (1)
M. A. Blinn,"25,672",*,
T. M. Bluedorn,"11,102",*,
J. F. Clark,"36,400",*,
C. S. Cox,"59,451",,*
M. S. Craighead,"18,066",*,
J. M. Hobby,"16,928",*,
M. D. Hsu,"2,687",*,
R. Kirk,"61,429",*,
P. H. Patsley,"143,321",*,
R. E. Sanchez,"73,336",*,*
R. K. Templeton (2),"3,429,639",,*
Management (3),,,
R. R. Lizardi,"185,667",*,
H. Ilan,"307,349",*,
K. M. Flessner,"167,384",*,
H. H. Kozanian N. Anderskouv,"73,675",,*
,"163,623",,*
All executive officers and directors as a group (4),"5,631,984",*,
