,,Salary,Profit,,Equity Compensation (Grant Date,,
Officer,Year,(Annual Rate),Sharing,Bonus,Fair Value),,Total
R.K.Templeton,2020,"$1,340,000","$267,333","$3,745,000","$13,000,042",,"$18,352,375"
,2019,"$1,300,000","$259,167","$3,550,000","$13,000,057",,"$18,109,224"
,2018,"$1,250,000","$226,250","$3,800,000","$12,000,110",,"$17,276,360"
R.R.Lizardi.,2020,"$ 700,000","$139,333","$1,000,000",,"$3,300,044","$5,139,377"
,2019,"$ 660,000","$131,000","$950,000",,"$3,000,065","$4,741,065"
,2018,"$ 600,000","$118,333","$1,000,000",,"$2,400,097","$4,118,430"
H. Ilan.,2020,"$ 850,000","$155,833","$1,700,000",,"$ 4,500,043","$7,205,876"
,2019,"$ 715,000","$142,333","$1,140,000",,"$3,800,062","$5,797,395"
,2018,"$ 675,000","$133,750","$1,200,000",,"$3,800,103","$5,808,853"
K. Flessner...,2020,"$ 660,000",,"$131,000","$1,200,000","$3,600,024","$ 5,591,024"
H. Kozanian.,2020,"$ 600,000",,"$118,750","$1,200,000","$3,000,089","$ 4,918,839"
N.Anderskouv..,2020,"$ 740,000","$147,583","$1,200,000",,"$3,800,133","$ 5,887,716"
,2019,"$ 715,000","$142,333","$1,140,000","$3,800,062",,"$5,797,395"
,2018,"$ 675,000","$133,750","$1,200,000","$3,800,103",,"$5,808,853"
